"filename", "language", "JavaScript", "JSON", "PHP", "CSS", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\package.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 29, 2, 1, 32
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\build\assets\app.3def9732.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 8, 0, 29
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\build\assets\app.cc10c83a.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\build\assets\livewire_events.521dd473.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\build\assets\loading.f7812020.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\build\manifest.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 22
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\css\app.css", "CSS", 0, 0, 0, 2357, 0, 0, 0, 127, 219, 2703
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\css\desabilitarInputNumber.css", "CSS", 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\css\index.css", "CSS", 0, 0, 0, 34, 0, 0, 0, 4, 2, 40
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\css\invoice.css", "CSS", 0, 0, 0, 168, 0, 0, 0, 18, 24, 210
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\css\print.css", "CSS", 0, 0, 0, 18, 0, 0, 0, 0, 18, 36
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\img\fotosPDF\coti.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\img\fotosPDF\venta.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\img\fotosPDF\ventas.svg", "XML", 0, 0, 0, 0, 0, 0, 1592, 1, 2, 1595
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\img\fotosPDF\wpp.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\inc\database.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 5, 5, 34
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\inc\getCodigos.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 1, 8, 22
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\index.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 30, 12, 56
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\Autocompletes\adicionarProducto.js", "JavaScript", 342, 0, 0, 0, 0, 0, 0, 68, 113, 523
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\Autocompletes\cliente_ventas.js", "JavaScript", 307, 0, 0, 0, 0, 0, 0, 118, 91, 516
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\Autocompletes\modals.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 13, 16, 59
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\Autocompletes\validacionVentas.js", "JavaScript", 243, 0, 0, 0, 0, 0, 0, 90, 50, 383
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\Contrasenias\volver_a_escribri_contra.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 18, 8, 45
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\Proveedor\ClienteExiste.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 22, 23, 173
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\Proveedor\CotizacionExiste.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 15, 13, 63
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\Proveedor\EmpleadoExiste.js", "JavaScript", 294, 0, 0, 0, 0, 0, 0, 67, 55, 416
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\Proveedor\ProductoExiste.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 17, 16, 106
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\Proveedor\ProveedorExiste.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 6, 4, 50
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\Proveedor\cargar_imagen.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 47, 27, 141
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\app.js", "JavaScript", 7436, 0, 0, 0, 0, 0, 0, 10813, 1479, 19728
