Date : 2023-10-10 17:49:42
Directory : c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors
Total : 334 files,  937884 codes, 15860 comments, 6996 blanks, all 960740 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\auth.php                                                               | PHP        |         28 |         70 |         14 |        112 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\backup.php                                                             | PHP        |         84 |        152 |         46 |        282 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\broadcasting.php                                                       | PHP        |         35 |         23 |         13 |         71 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\cache.php                                                              | PHP        |         58 |         34 |         19 |        111 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\cors.php                                                               | PHP        |          3 |         29 |          3 |         35 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\database.php                                                           | PHP        |         88 |         48 |         22 |        158 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\excel.php                                                              | PHP        |         96 |        211 |         26 |        333 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\filesystems.php                                                        | PHP        |         32 |         32 |         13 |         77 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\hashing.php                                                            | PHP        |         12 |         32 |          9 |         53 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\logging.php                                                            | PHP        |         70 |         34 |         19 |        123 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\mail.php                                                               | PHP        |         53 |         56 |         19 |        128 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\permission.php                                                         | PHP        |         30 |         91 |         41 |        162 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\queue.php                                                              | PHP        |         47 |         32 |         15 |         94 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\sanctum.php                                                            | PHP        |         15 |         41 |         12 |         68 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\services.php                                                           | PHP        |         17 |         11 |          7 |         35 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\session.php                                                            | PHP        |         22 |        147 |         33 |        202 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\view.php                                                               | PHP        |         10 |         20 |          7 |         37 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\factories\UserFactory.php                                            | PHP        |         22 |         15 |          5 |         42 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2014_10_12_000000_create_users_table.php                  | PHP        |         22 |          6 |          5 |         33 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2014_10_12_100000_create_password_resets_table.php        | PHP        |         19 |         10 |          4 |         33 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2019_08_19_000000_create_failed_jobs_table.php            | PHP        |         23 |         10 |          4 |         37 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php | PHP        |         24 |         10 |          4 |         38 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_07_28_102445_create_datos_generals_table.php         | PHP        |         23 |         11 |          4 |         38 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_08_29_092200_create_empleados_table.php              | PHP        |         28 |         12 |          5 |         45 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_08_29_092428_create_proveedors_table.php             | PHP        |         26 |         10 |          5 |         41 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_08_29_092624_create_productos_table.php              | PHP        |         41 |         12 |          6 |         59 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_08_29_092904_create_clientes_table.php               | PHP        |         25 |         10 |          4 |         39 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_08_29_093021_create_cotizacions_table.php            | PHP        |         47 |         13 |          9 |         69 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_08_29_093309_create_detalle_cotizacions_table.php    | PHP        |         35 |         13 |          8 |         56 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_08_29_093650_create_ventas_table.php                 | PHP        |         33 |         11 |          5 |         49 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_08_29_093702_create_detalle_ventas_table.php         | PHP        |         35 |         12 |          8 |         55 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_10_17_234619_create_permission_tables.php            | PHP        |        108 |         10 |         24 |        142 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_12_19_205133_create_backups_table.php                | PHP        |         19 |          6 |          5 |         30 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\seeders\DatabaseSeeder.php                                           | PHP        |        135 |        201 |         58 |        394 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\en\auth.php                                                              | PHP        |          6 |         10 |          5 |         21 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\en\pagination.php                                                        | PHP        |          5 |         10 |          5 |         20 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\en\passwords.php                                                         | PHP        |          8 |         10 |          5 |         23 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\en\validation.php                                                        | PHP        |        136 |         30 |          9 |        175 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\es\auth.php                                                              | PHP        |          5 |         10 |          5 |         20 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\es\pagination.php                                                        | PHP        |          5 |         10 |          5 |         20 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\es\passwords.php                                                         | PHP        |          9 |         10 |          4 |         23 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\es\validation.php                                                        | PHP        |        113 |         31 |          9 |        153 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\ar\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\bg\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\bn\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\cs\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\da\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\de\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\en\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\es\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\fa\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\fi\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\fr\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\hi\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\id\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\it\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\ja\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\nl\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\no\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\pl\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\pt-BR\notifications.php                                    | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\pt\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\ro\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\ru\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\tr\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\uk\notifications.php                                       | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\zh-CN\notifications.php                                    | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\zh-TW\notifications.php                                    | PHP        |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\package-lock.json                                                             | JSON       |      2,431 |          0 |          1 |      2,432 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\package.json                                                                  | JSON       |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\phpunit.xml                                                                   | XML        |         29 |          2 |          1 |         32 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\postcss.config.js                                                             | JavaScript |          6 |          0 |          1 |          7 |
